name,region,address,phone,money
財團法人台灣省私立高雄仁愛之家,大寮區,高雄市大寮區後庄里民順街1號,07-7037380,15000
高雄市私立和信老人長期照顧中心 (養護型),前鎮區,高雄市前鎮區和平二路207號6樓、203號7樓,07-7220726,22000
高雄市私立親親老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區和平二路205、207號5樓,07-7220251,20000
高雄市私立安和老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區和平二路205、207號12樓,07-7226456,22000
高雄市私立安仁老人長期照顧中心(養護型),前鎮區,高雄市前鎮區和平二路203、205、207號4樓,07-7226456,22000
高雄市私立合信老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區和平二路203、207號11樓,07-7220726,21000
高雄市私立溫心養護中心,前鎮區,高雄市前鎮區廣西路200號1-3樓,07-3339696,21000
高雄市私立耀群老人長期照顧中心(養護型),前鎮區,高雄市前鎮區瑞北路241號1-2樓,07-7171168,21000
高雄市私立雙喜老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區和平二路205、207號10樓,07-7224765,22000
高雄市私立幸福一家老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區漁港路93-1號,07-8157277,25000
高雄市私立心橋老人長期照顧中心（養護型）,前鎮區,高雄市前鎮區和平二路203、205號3樓,07-7224765,22000
高雄市私立全人老人長期照顧中心(養護型),前鎮區,高雄市前鎮區和平二路203號6樓,07-7617665,22000
高雄市私立上和老人長期照顧中心(養護型),前鎮區,高雄市前鎮區草衙中街95號,07-8127575,27000
高雄市私立瑞翁老人長期照顧中心(養護型),小港區,高雄市小港區水秀路35號1樓,07-8038600,21000
高雄市私立人愛養護之家,小港區,高雄市小港區高坪二十三路712號2-3樓,07-8913131,23000
高雄市私立祐安養護中心,小港區,高雄市小港區宏平路292號1-4樓,07-8036565,23000
高雄市私立祥和養護中心,小港區,高雄市小港區民益路27號1-6樓,07-8063516,25000
高雄市私立傳祐老人長期照顧中心(養護型),小港區,高雄市小港區沿海一路377號1至3樓,07-8071593,24000
高雄市私立康庭老人長期照顧中心(養護型),小港區,高雄市小港區高坪二十街25巷51號1-2樓,07-8913966,21000
高雄市私立中安崇恩老人長期照顧中心(養護型),小港區,高雄市小港區桂園路106號,07-7915106,21000
信義醫療財團法人附設高雄市私立方舟養護之家,苓雅區,高雄市苓雅區成功一路135巷26號1-5樓,07-3321111,27000
高雄市私立吉翁養護之家,苓雅區,高雄市苓雅區澄清路200號1-2樓,07-7470522,21000
高雄市私立新立養護中心,苓雅區,高雄市苓雅區三多四路63號9樓之7,07-3301000,16500
高雄市私立芳園老人長期照顧中心(養護型),苓雅區,高雄市苓雅區文山路142號,07-7470306,21000
高雄市私立好順心老人長期照顧中心(養護型),苓雅區,高雄市苓雅區二聖一路12號,07-7166177,21000
